"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr359","BirdLife Australia, Birdata","10.15468/dchsnk","BirdLife Australia (2019). Birdata (http://www.birdata.com.au). Accessed via the ALA on (01/03/2019).","","For more information: https://collections.ala.org.au/public/show/dr359","","Please note that details of records of sensitive species have been removed from this data set. Visit https://birdata.birdlife.org.au/request-data to request data directly from BirdLife Australia.","","32438"
"dp28","BirdLife Australia","","Records provided by BirdLife Australia, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp28","","","","32438"
